,ORGANIZATION_NAME,UNIQUE_ADV_NAME,L0,L1,L2,L3,UNIQUE_BRAND_NAME,M_SEARCH_CLK,M_SEARCH_IMP,M_SEARCH_SPEND,M_OFF_DIS_TOTAL_SUM_CLK,M_OFF_DIS_TOTAL_SUM_IMP,M_OFF_DIS_TOTAL_SUM_SPEND,M_ON_DIS_TOTAL_SUM_CLK,M_ON_DIS_TOTAL_SUM_IMP,M_ON_DIS_TOTAL_SUM_SPEND,O_SALE,O_UNIT,O_SALE_STORE,O_UNIT_STORE,M_TOTAL_DISPLAY_SUM_CLK,M_TOTAL_DISPLAY_SUM_IMP,M_TOTAL_DISPLAY_SUM_SPEND,O_SALE_ONLINE,O_UNIT_ONLINE
8577,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,MUSHROOM,NATURAURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8578,,N/A,FOOD,PRODUCE,TROPICALS,VARIETY TROPICALS,Hypermart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21602.890000000,5661.340000000,21563.190000000,5651.340000000,0.0,0.0,0.0,39.700000000,-15901.850000000
8579,,N/A,FOOD,PRODUCE,TOMATOES,ETHNIC COOKING,R&R Games,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.730000000,178.080000000,1062.730000000,178.080000000,0.0,0.0,0.0,0E-9,-884.650000000
8580,,N/A,FOOD,PRODUCE,MELONS,PUMPKINS,PRODUCE UNBRANDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.940000000,2.000000000,19.940000000,2.000000000,0.0,0.0,0.0,0E-9,-17.940000000
8581,Lexunder Inc,Lexunder Inc 1,FOOD,PRODUCE,COOKING VEGTABLES,BROCCOLI L3,Food to Live,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8582,,N/A,FOOD,PRODUCE,PACKAGED VEGETABLES,PKG SALADS,Tasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.820000000,37.000000000,142.820000000,37.000000000,0.0,0.0,0.0,0E-9,-105.820000000
8583,SMUCKER RETAIL FOODS INC,SMUCKER RETAIL FOODS INc,FOOD,PRODUCE,TOMATOES,SALAD TOPPINGS,PRODUCE UNBRANDED,1.0,1184.0,0.310000002,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8584,,N/A,FOOD,PRODUCE,PRODUCE L2,PRODUCE L3,Milpas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.420000000,1131.000000000,922.500000000,1125.000000000,0.0,0.0,0.0,4.920000000,208.500000000
8585,,N/A,FOOD,PRODUCE,TOMATOES,ETHNIC COOKING,Chiquita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612000.800000000,990689.000000000,2403918.550000000,911859.000000000,0.0,0.0,0.0,208082.250000000,-1413229.550000000
8586,,N/A,FOOD,PRODUCE,FLORAL,MISC FLORAL,ZURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8587,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,MUSHROOM,The Snak Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8588,,N/A,FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,Jazz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20705.590000000,5238.000000000,20705.590000000,5238.000000000,0.0,0.0,0.0,0E-9,-15467.590000000
8589,,N/A,FOOD,PRODUCE,TRUCK VEG CHILIS,ORGANIC TRUCK VEG,Savor Brands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8590,,N/A,FOOD,PRODUCE,GRAPES L2,GRAPES,Hypermart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.660000000,28.880000000,35.410000000,16.310000000,0.0,0.0,0.0,27.250000000,-6.530000000
8591,Made In Nature LLC,Made In Nature LLC 1,FOOD,SNACKS AND BEVERAGES,PROTEIN SNACKS,SNACK NUTS,Made In Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8592,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,VEGETARIAN,Companion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.760000000,3.000000000,0E-9,0E-9,0.0,0.0,0.0,71.760000000,3.000000000
8593,,N/A,FOOD,PRODUCE,PRODUCE L2,PRODUCE L3,Portion Pac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8594,PepsiCo,PepsiCo 2,FOOD,PRODUCE,TOMATOES,DIPS GLAZES MIXES,Doritos,2362.0,209728.0,1051.420010848,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8595,TAYLOR FARMS PACIFIC INC,TAYLOR FARMS PACIFIC INC,FOOD,PRODUCE,CUT FRUIT,CUT FRUIT PROCESSED,Fresh Produce,4226.0,631662.0,917.650000318,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
