INDEX,O_SALE,O_UNIT,O_SALE_STORE,O_SALE_OG,O_SALE_DOTCOM,O_SALE_ONLINE,O_UNIT_STORE,O_UNIT_OG,O_UNIT_DOTCOM,O_UNIT_ONLINE,M_ON_DIS_HPLO_IMP,M_ON_DIS_HPLO_SPEND,M_ON_DIS_APP_HPLO_IMP,M_ON_DIS_APP_HPLO_SPEND,M_ON_DIS_HP_IMP,M_ON_DIS_HP_SPEND,M_ON_DIS_ROS_IMP,M_ON_DIS_ROS_SPEND,M_ON_DIS_CATTO_IMP,M_ON_DIS_CATTO_SPEND,M_ON_DIS_HPTO_IMP,M_ON_DIS_HPTO_SPEND,M_ON_DIS_HPGTO_IMP,M_ON_DIS_HPGTO_SPEND,M_ON_DIS_AT_IMP,M_ON_DIS_AT_SPEND,M_ON_DIS_KW_IMP,M_ON_DIS_KW_SPEND,M_ON_DIS_CT_IMP,M_ON_DIS_CT_SPEND,M_SP_AB_IMP,M_SP_AB_CLK,M_SP_AB_SPEND,M_SP_KWB_IMP,M_SP_KWB_CLK,M_SP_KWB_SPEND,M_SV_IMP,M_SV_CLK,M_SV_SPEND,M_SBA_IMP,M_SBA_CLK,M_SBA_SPEND,M_SEARCH_IMP,M_SEARCH_CLK,M_SEARCH_SPEND,M_OFF_DIS_FB_IMP,M_OFF_DIS_FB_SPEND,M_OFF_DIS_WN_WITHOUTCTV_IMP,M_OFF_DIS_WN_WITHOUTCTV_SPEND,M_OFF_DIS_DSP_CTV_IMP,M_OFF_DIS_DSP_CTV_SPEND,M_OFF_DIS_PIN_IMP,M_OFF_DIS_PIN_SPEND,M_ON_DIS_TOTAL_IMP,M_ON_DIS_TOTAL_SPEND,M_OFF_DIS_TOTAL_IMP,M_OFF_DIS_TOTAL_SPEND,M_ON_DIS_TOTAL_HPLO_IMP,M_ON_DIS_TOTAL_HPLO_SPEND,PRICE,PRICE_ONLINE,RATE_M_SP_AB,RATE_M_SP_KWB,RATE_M_SBA,RATE_M_SV,RATE_M_ON_DIS_AT,RATE_M_ON_DIS_CT,RATE_M_ON_DIS_CATTO,RATE_M_ON_DIS_KW,RATE_M_ON_DIS_ROS,RATE_M_ON_DIS_TOTAL_HPLO,RATE_M_ON_DIS_HPGTO,RATE_M_ON_DIS_HPTO,RATE_M_ON_DIS_HP,RATE_M_OFF_DIS_WN_WITHOUTCTV,RATE_M_OFF_DIS_DSP_CTV,RATE_M_OFF_DIS_FB,RATE_M_OFF_DIS_PIN
2025-05-31,935488.3200000001,60300.0,826678.9600000001,51172.86,57636.5,108809.36000000002,57051.0,1516.0,1733.0,3249.0,0.0,0.0,796438.5,0.0,0.0,0.0,0.0,0.0,172108.7727272727,1772.7272727319998,0.0,0.0,0.0,0.0,715328.7545454545,7256.6025633009995,148837.76514317637,2427.872118445,250370.91454775012,3558.0237593029997,341896.0,1159.0,2852.5500136929995,128361.0,1266.0,1351.0700093219998,0.0,0.0,0.0,187064.0,158.0,97.879999139,657321.0,2583.0,4301.500022153999,0.0,0.0,992568.4818181819,4725.274479542,919179.6022727272,26571.874978564,0.0,0.0,2083084.7069636534,15015.225713781001,1911748.084090909,31297.149458105992,796438.5,0.0,549.9013786173224,641.1695755222207,4.913978792795817,4.456315411608445,1.2077865494140316,0.0,0.03213348033209502,0.04609115945648937,0.01030004017018413,0.06340292483610907,0.0,0.0,0.0,0.0,0.0,0.009518781640491787,0.09216601392419688,0.0,0.0
2025-06-01,767817.2000000001,49409.0,670324.28,42916.51,54576.41,97492.92,46545.0,1267.0,1597.0,2864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164625.5,1772.727272732,0.0,0.0,0.0,0.0,743826.8454545453,7053.550944614,133691.2800977769,2134.10956094,248767.79104034405,3424.6465751299997,245214.0,780.0,1592.180001146,118216.0,1267.0,1193.600006552,0.0,0.0,0.0,206322.0,174.0,93.659999159,569752.0,2221.0,2879.440006857,0.0,0.0,1047167.9818181822,4830.7317545509995,953303.3636363633,27512.803138333005,0.0,0.0,1290911.4165926662,14385.034353415998,2000471.3454545452,32343.534892883992,0.0,0.0,536.4272276378986,695.0610852672136,3.72721056966234,2.4189878580653486,1.0733970427642374,0.0,0.02960822261956205,0.04504742259142302,0.010768242299838119,0.06213831003183797,0.0,0.0,0.0,0.0,0.0,0.009270724549166103,0.09183480182093991,0.0,0.0
2025-06-02,570384.68,37022.0,465049.87000000005,33887.490000000005,71447.32,105334.81000000001,34150.0,1000.0,1872.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148357.1818181818,1772.7272727319998,0.0,0.0,0.0,0.0,642322.5090909092,5402.652633969999,113826.07666763965,1755.9971551910003,249990.0814794319,3229.395293341,414484.0,1208.0,2615.950003575,146826.0,1442.0,1356.030008451,0.0,0.0,0.0,147224.0,167.0,100.979999103,708534.0,2817.0,4072.960011129,0.0,0.0,1111771.390909091,4572.106321548001,869360.6704545454,24884.710932741,0.0,0.0,1154495.8490561624,12160.772355234,1981132.0613636363,29456.81725428899,0.0,0.0,574.1987447961252,684.5047358732279,3.8862054535317387,3.1426431270161506,1.2267101343571014,0.0,0.025966937624548533,0.042725053151749626,0.01194904925401289,0.06060369675770693,0.0,0.0,0.0,0.0,0.0,0.00822529398782929,0.09147648579166368,0.0,0.0
2025-06-03,593091.54,40766.0,491797.9,37490.42,63803.22,101293.64000000001,37944.0,1100.0,1722.0,2822.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,146476.3181818182,1772.7272727319996,0.0,0.0,0.0,0.0,680182.0727272728,5954.329809197001,105004.34034350922,1591.5412407880003,265657.31175309647,3610.8291013460002,471830.0,1359.0,2759.2100044390004,161199.0,1541.0,1241.6800057060002,0.0,0.0,0.0,156634.0,147.0,93.709999487,789663.0,3047.0,4094.600009632,0.0,0.0,977412.6636363635,4499.430043544,874513.8068181816,25193.866263139007,0.0,0.0,1197320.7702784238,12929.427424062998,1851926.470454546,29693.296306683,0.7272727272727273,0.0,538.6246619917266,632.5549637737275,3.5594026408840813,2.6368635371352602,1.3161094120486085,0.0,0.02727642711091754,0.044988917539265344,0.012102483833130949,0.06070004222730066,0.0,0.0,0.0,0.0,0.0,0.009198409616907072,0.09121408770673514,0.0,0.0
2025-06-04,682654.16,40625.0,517194.54,36946.23,128513.39,165459.62,36673.0,1079.0,2873.0,3952.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,34259.13636363637,0.0,0.0,0.0,0.0,0.0,735884.1181818183,6787.811332902001,116111.82168914427,1735.5707178669998,254484.23861158683,3707.9771261759993,518817.0,1401.0,2914.380007154,423066.0,2914.0,2029.1300125140008,0.0,0.0,0.0,177900.0,142.0,97.139999174,1119783.0,4457.0,5040.650018842001,0.0,0.0,912374.1727272726,4506.526932697,834936.7272727273,23982.148483868004,0.0,0.0,1140740.76939164,12231.359176945,1747310.8999999997,28488.675416565005,1.4545454545454546,0.0,582.5929354680126,679.8384180915228,3.693789867963047,3.6141643596011273,1.360091312424459,0.0,0.029123010155114187,0.04570057265781283,0.0,0.061268453933887676,0.0,0.0,0.0,0.0,0.0,0.009876755498450667,0.09083878560801151,0.0,0.0
2025-06-05,1776096.94,61843.0,1598815.84,50719.43000000001,126561.67,177281.1,57520.0,1438.0,2885.0,4323.0,0.0,0.0,2449107.6363636362,21818.181818184,0.0,0.0,0.0,0.0,161264.72727272726,1309.090909088,0.0,0.0,0.0,0.0,783555.3909090909,7109.063175886001,150132.21190306303,2109.858744924,311498.658479109,3808.172086938,580034.0,1415.0,2909.0800038510006,523898.0,6173.0,3521.3100351360026,0.0,0.0,0.0,171749.0,130.0,92.92999968800001,1275681.0,7718.0,6523.320038675003,0.0,0.0,2563849.918181818,8078.83518926,1097947.272727273,31910.879224030996,0.0,0.0,3855558.624927626,36154.36673502,3661797.190909091,39989.714413291,2449107.6363636362,21818.181818184,607.6611055659948,683.0951680738639,3.6429695951673335,2.4883497028226533,1.4522428087678785,0.0,0.027689194890638126,0.03980412396714901,0.008117651833894804,0.05912977270428539,0.0,0.008908625122977036,0.0,0.0,0.0,0.009462526422374287,0.08917918116949664,0.0,0.0
2025-06-06,1204500.97,62266.0,1077217.11,57236.090000000004,70047.77,127283.86000000002,58564.0,1675.0,2027.0,3702.0,0.0,0.0,845504.7272727273,0.0,0.0,0.0,0.0,0.0,539290.1818181818,1309.090909088,0.0,0.0,12227745.454545455,29454.545454544,834392.4090909092,8427.920310036,170385.08894726323,2258.8249197669998,238049.4075000137,2750.909293439,575103.0,1503.0,3018.5499951750003,1254969.0,4870.0,5426.670018180999,0.0,0.0,0.0,146456.0,102.0,70.02999912499999,1976528.0,6475.0,8515.250012481,0.0,0.0,1113377.1909090912,4332.383373750999,1029001.5113636362,29867.736654091,0.0,0.0,14855367.269174548,44201.29088687401,2142378.702272727,34200.120027842,845504.7272727273,0.0,544.5280411478707,643.4015116848753,3.447498444391144,3.2101454934695903,1.2810144759301711,0.0,0.03158223037093071,0.038121203882956575,0.002427433232094983,0.057649532749893685,0.0,0.0,0.0024088288036446474,0.0,0.0,0.011752935880450548,0.08907072422481171,0.0,0.0
2025-06-07,1210331.35,67951.0,1072770.03,60364.41,77196.91,137561.32,64132.0,1717.0,2102.0,3819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594415.2727272727,1309.090909088,0.0,0.0,1869885.818181818,0.0,702208.9454545456,7354.166000989999,155764.30780391302,1997.5806919039999,224011.61501994322,2485.748977541,674626.0,1752.0,3370.38999843,1101837.0,4303.0,5255.140009860998,0.0,0.0,0.0,145421.0,97.0,61.049999222000004,1921884.0,6152.0,8686.580007513,0.0,0.0,1317692.7363636363,5332.354553295,959200.2386363635,27874.021823035004,0.0,0.0,3546285.9591874923,13146.586579522998,2276892.9749999996,33206.37637633001,0.0,0.0,558.8562615609578,672.406677676244,3.255860634328831,3.549546681964472,1.2343970554341086,0.0,0.034581982090945,0.03586612727965974,0.002202317082267555,0.05718095195831591,0.0,0.0,0.0,0.0,0.0,0.012118998731461073,0.08949518508356669,0.0,0.0
2025-06-08,961360.2600000001,56649.0,847271.8800000001,47820.65,66267.73000000001,114088.38,53374.0,1402.0,1873.0,3275.0,0.0,0.0,3819904.0,0.0,0.0,0.0,0.0,0.0,409827.63636363635,1309.090909088,0.0,0.0,0.0,0.0,820828.7636363637,8257.364106426001,162188.99796189723,2102.344137285,242280.71193656634,2568.112087111,669228.0,1777.0,3464.9299998829993,1060681.0,4530.0,5263.420007418001,0.0,0.0,0.0,181792.0,126.0,95.769999522,1911701.0,6433.0,8824.120006823,0.0,0.0,1444728.4727272727,5844.6537594810015,996694.3068181819,29102.885489525,0.0,0.0,5455030.109898463,14236.91123991,2441422.7795454543,34947.539249006,3819904.0,0.0,511.87820289471256,629.9924614502266,3.2754189518643733,3.3265386262118946,1.4642129545324074,0.0,0.033006140487231356,0.03685892679646008,0.003194247515134522,0.05805604917489579,0.0,0.0,0.0,0.0,0.0,0.012184377687382283,0.09049350323577432,0.0,0.0
2025-06-09,678424.81,41054.0,586436.24,39938.19,52050.380000000005,91988.57,38332.0,1148.0,1574.0,2722.0,0.0,0.0,852740.3636363636,0.0,0.0,0.0,0.0,0.0,325614.54545454547,1309.090909088,0.0,0.0,0.0,0.0,633609.4545454545,6372.942101075,120449.53586799582,1774.6293810020002,171333.91757011152,2412.6942908319998,646317.0,1621.0,3154.839994676,776988.0,2914.0,3668.950005621999,0.0,0.0,0.0,164522.0,95.0,70.969999815,1587827.0,4630.0,6894.760000112999,0.0,0.0,1500197.9272727272,5290.3935362970005,917842.5795454545,26447.510411834002,0.0,0.0,2103747.8170744707,11869.356681997,2418040.5068181814,31737.903948131003,852740.3636363636,0.0,550.0314631769846,656.1803152997563,3.277175609815639,3.506604675250766,1.4088629966267474,0.0,0.032416513627950144,0.04499063483079102,0.004020369874019476,0.06018177783805876,0.0,0.0,0.0,0.0,0.0,0.010599847519030476,0.0890197085804987,0.0,0.0
2025-06-10,668665.2100000001,39884.0,551790.3,47362.78,69512.13,116874.91,36901.0,1207.0,1776.0,2983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321537.45454545453,1309.090909088,0.0,0.0,0.0,0.0,430823.04545454547,4359.637649511,105518.72958511134,1503.088024301,130964.62779819118,1630.0482589820003,670588.0,1629.0,3108.689994958,619319.0,2185.0,3310.4699959629997,0.0,0.0,0.0,126967.0,127.0,78.449999563,1416874.0,3941.0,6497.609990483999,0.0,0.0,1551646.5,4520.643268556,850109.3522727272,24433.962990071996,0.0,0.0,988843.8573833026,8801.864841882001,2401755.8522727275,28954.606258628,0.0,0.0,524.3243114227254,614.0495759542705,3.313289686655109,4.067534890532572,1.2011761541191983,0.0,0.031120833890105403,0.041783051547150965,0.004071348113825846,0.059496019811981896,0.0,0.0,0.0,0.0,0.0,0.00866398968709338,0.08881539613735029,0.0,0.0
2025-06-11,689502.6400000001,40840.0,572687.05,50660.350000000006,66155.24,116815.59000000001,37772.0,1324.0,1744.0,3068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74817.45454545454,0.0,0.0,0.0,0.0,0.0,223446.13636363635,2934.139130099,67703.436542779,1152.313595161,154458.5843541633,2312.643802281,666836.0,1717.0,3462.2200031769994,655595.0,2384.0,3468.3299998929997,0.0,0.0,0.0,170869.0,118.0,107.699999243,1493300.0,4219.0,7038.250002313,0.0,0.0,879689.4272727272,4076.4971402089996,676832.9999999999,19533.100542501,0.0,0.0,520425.61180603324,6399.096527540999,1556522.427272727,23609.597682710002,0.0,0.0,493.14604291508135,641.4317159716584,3.4215867134364966,3.9517723782263263,2.022384600649359,0.0,0.03342562136344957,0.03399874311284281,0.0,0.04869085234846353,0.0,0.0,0.0,0.0,0.0,0.009303133347760631,0.08822057682815695,0.0,0.0
2025-06-12,781721.4700000001,46217.0,662552.87,56522.75,62645.85,119168.6,42932.0,1528.0,1757.0,3285.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484869.5909090908,6624.5426004500005,136101.8763419463,2231.035166143,303532.5938648756,4717.739436584,354427.0,1069.0,1494.3600020620001,581316.0,2279.0,3062.910002578001,0.0,0.0,0.0,135682.0,101.0,69.67999944499999,1071425.0,3449.0,4626.950004085001,0.0,0.0,1119414.6545454545,4021.517537657,304482.5568181818,8868.183530587,0.0,0.0,924504.78838864,13573.317203177,1423897.2113636364,12889.701068244,0.7272727272727273,0.0,557.2430761894992,704.660876542026,3.055196537539166,3.4325388611009604,1.2878297582843135,0.0,0.02704742453554885,0.03803080971203571,0.0,0.04921916305193241,0.0,0.0,0.0,0.0,0.0,0.007193208451626876,0.0599072468243457,0.0,0.0
2025-06-13,1069289.87,62376.0,911760.52,73698.89,83830.46,157529.35,58191.0,1942.0,2243.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323349.4090909091,4214.987854759,123139.35919808983,1740.43126405,219495.74246945756,2948.093658732,301273.0,949.0,1300.660002135,524599.0,2230.0,2942.4699984230006,0.0,0.0,0.0,200370.0,143.0,88.799999038,1026242.0,3322.0,4331.929999596001,0.0,0.0,1573586.1636363636,4213.885677831,311071.27272727276,9061.273911029,0.0,0.0,665984.5107584565,8903.512777541,1884657.4363636363,13275.15958886,0.0,0.0,565.1702920200339,650.3925490134035,3.086605822343171,3.512486427345432,1.2172013591993542,0.0,0.026164251202431592,0.03359963478414877,0.0,0.04647857471197216,0.0,0.0,0.0,0.0,0.0,0.005348169202857369,0.06024184630964237,0.0,0.0
